EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER,
5598551,ALACHUA CO.,GAINESVILLE,04/23/1997,743,Thunderstorm Wind, , ,0,0,5000,0,FL,EST, ,2063437,C,1,JAX,0,0, , , , , , , , ,GAINESVILLE,29.65,-82.32,29.65,-82.32,72,
5598569,ALACHUA CO.,GAINESVILLE,04/23/1997,743,Flash Flood, , ,0,0,2000,0,FL,EST, ,2063442,C,1,JAX,0,0, , , , , , , , ,GAINESVILLE, , , , ,73,
5611257,LEVY CO.,BRONSON,04/23/1997,745,Thunderstorm Wind, , ,0,0,10000,0,FL,EST, ,2067037,C,75,TBW,0,0, , , , , , , , ,BRONSON,29.45,-82.65,29.45,-82.65,74,
5598552,ALACHUA CO.,ARCHER,04/23/1997,749,Thunderstorm Wind,0, ,0,0,1500,0,FL,EST, ,2063437,C,1,JAX,0,0, , , , ,5,E, , ,ARCHER,29.53,-82.45,29.53,-82.53,75,
5623432,HERNANDO CO.,SPRING HILL,04/23/1997,810,Tornado,0,F0,0,0,0,0,FL,EST, ,2071813,C,53,TBW,0,0, , ,0.1,5,3,WNW,3,WNW,SPRING HILL,28.57,-82.48,28.57,-82.48,76,
5623433,HERNANDO CO.,SPRING HILL,04/23/1997,810,Tornado, ,F0,0,0,0,0,FL,EST, ,2071814,C,53,TBW,0,0, , ,0.2,5,3,NW,3,NW,SPRING HILL,28.58,-82.48,28.58,-82.48,77,
5611258,LEVY CO.,WILLISTON,04/23/1997,815,Thunderstorm Wind, , ,0,0,50000,0,FL,EST, ,2067038,C,75,TBW,0,0, , , , , , , , ,WILLISTON,29.38,-82.45,29.38,-82.45,78,
5611259,CITRUS CO.,HOMOSASSA,04/23/1997,825,Thunderstorm Wind, , ,0,0,250000,0,FL,EST, ,2067039,C,17,TBW,0,0, , , , , , , , ,HOMOSASSA,28.78,-82.62,28.78,-82.62,79,
5611260,HERNANDO CO.,SPRING HILL,04/23/1997,828,Thunderstorm Wind,56, ,0,0,0,0,FL,EST, ,2067040,C,53,TBW,0,0, , , , ,4,NW,4,NW,SPRING HILL,28.58,-82.5,28.58,-82.5,80,
5616736,VOLUSIA CO.,NEW SMYRNA BEACH,04/23/1997,830,Tornado, ,F0,0,0,0,0,FL,EST, ,2069939,C,127,MLB,0,0, , ,0.1,20, , , , ,NEW SMYRNA BEACH,29.02,-80.93,29.02,-80.93,81,
