aEVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER
10318094,ALACHUA CO.,Alachua,04/11/1995,2047,Thunderstorm Wind,0, ,0,0,0,0,FL,EST, , ,C,1, ,0,0, , ,0,0,0, ,15,WNW,GNV, , , , ,68
10317745,ESCAMBIA CO.,Pensacola Beach,04/11/1995,2245,Thunderstorm Wind,0, ,0,0,5000,0,FL,CST, , ,C,33, ,0,0, , ,0,0,0, ,0, , , , , , ,69
10319864,SANTA ROSA CO.,Navarre,04/12/1995,100,Thunderstorm Wind,0, ,0,0,2000,0,FL,CST, , ,C,113, ,0,0, , ,0,0,0, ,0, , , , , , ,70
10319865,SANTA ROSA CO.,Milton,04/12/1995,130,Thunderstorm Wind,0, ,0,0,500,0,FL,CST, , ,C,113, ,0,0, , ,0,0,0, ,0, , , , , , ,71
10317747,ESCAMBIA CO.,Pensacola,04/21/1995,415,Thunderstorm Wind,0, ,0,0,500,0,FL,CST, , ,C,33, ,0,0, , ,0,0,0, ,0, , , , , , ,72
10317748,ESCAMBIA CO.,Molino,04/23/1995,900,Thunderstorm Wind,0, ,0,0,1000,0,FL,CST, , ,C,33, ,0,0, , ,0,0,0, ,0, , , , , , ,73
10319866,SANTA ROSA CO.,Milton,04/23/1995,930,Thunderstorm Wind,0, ,0,0,500,0,FL,CST, , ,C,113, ,0,0, , ,0,0,0, ,0, , , , , , ,74
10320183,OKALOOSA CO.,Niceville,04/23/1995,1117,Tornado,0, ,0,0,0,0,FL,CST, , ,C,91, ,0,0, , ,.1,50,0, ,0, , ,30.53,-86.50, , ,75
10319176,ST. JOHNS CO.,Palatka,04/24/1995,1020,Tornado,0,F2,0,5,1100000,0,FL,EST, , ,C,109, ,0,0, , ,10,350,0, ,28,E,GNV,29.65,-81.73,29.75,-81.52,76
10320164,LAKE CO.,Bassville,04/26/1995,1900,Thunderstorm Wind,0, ,0,0,0,0,FL,EST, , ,C,69, ,0,0, , ,0,0,0, ,35,NW,ORL, , , , ,77
10317682,CLAY CO.,Keystone Heights,04/27/1995,1917,Thunderstorm Wind,0, ,0,0,0,0,FL,EST, , ,C,19, ,0,0, , ,0,0,0, ,13,ENE,GNV, , , , ,78
10318460,PUTNAM CO.,Putnam Hall,04/27/1995,2037,Thunderstorm Wind,0, ,0,0,0,0,FL,EST, , ,C,107, ,0,0, , ,0,0,0, ,16,E,GNV, , , , ,79
10317683,CLAY CO.,Keystone Hgts.,04/28/1995,1917,Thunderstorm Wind,0, ,0,0,0,0,FL,EST, , ,C,19, ,0,0, , ,0,0,4,N,14,NE,GNV, , , , ,80
10318461,PUTNAM CO.,Melrose,04/28/1995,2055,Thunderstorm Wind,0, ,0,0,0,0,FL,EST, , ,C,107, ,0,0, , ,0,0,0, ,10,E,GNV, , , , ,81
10317928,BROWARD CO.,Pompano Beach,04/30/1995,1657,Tornado,0, ,0,3,10000,0,FL,EST, , ,C,11, ,0,0, , ,0,0,0, ,13,NNE,FLL, , , , ,82
10319782,POLK CO.,Mulberry,05/04/1995,1540,Thunderstorm Wind,45, ,0,0,0,0,FL,EST, , ,C,105, ,0,0, , ,0,0,0, ,29,E,TPA, , , , ,83
10319966,HILLSBOROUGH CO.,Plant City,05/04/1995,1545,Thunderstorm Wind,50, ,0,0,0,0,FL,EST, , ,C,57, ,0,0, , ,0,0,0, ,22,E,TPA, , , , ,84
10319968,HILLSBOROUGH CO.,Plant City,05/04/1995,1656,Thunderstorm Wind,0, ,0,0,1000,0,FL,EST, , ,C,57, ,0,0, , ,0,0,0, ,13,ENE,TPA, , , , ,85
10318379,LEE CO.,N Ft. Myers,05/04/1995,1825,Thunderstorm Wind,40, ,0,0,1000,0,FL,EST, , ,C,71, ,0,0, , ,0,0,0, ,0, , , , , , ,86
